customer_id,signup_date,region,plan_type,tenure_months,monthly_fee_gbp,support_tickets_90d,last_login_days,nps_score,churned_90d
31,2024-06-24,South,Standard,3,18.6,2,29,9.0,0
32,2024-09-20,Scotland,Standard,36,18.89,1,7,17.0,0
33,2024-02-24,South,Standard,26,20.88,1,11,17.0,0
34,2024-06-30,Wales,Basic,5,11.46,1,46,7.0,0
35,2024-03-05,Midlands,Standard,11,21.51,0,12,26.0,0
36,2024-01-03,Midlands,Basic,12,12.88,0,6,16.0,0
37,2024-01-18,North,Basic,34,10.73,1,23,15.0,0
38,2024-06-25,North,Standard,11,20.26,0,1,34.0,0
39,2024-02-12,South,Standard,17,19.97,0,8,19.0,0
40,2024-03-20,Scotland,Basic,22,11.07,0,20,13.0,1
41,2024-11-29,South,Premium,33,30.28,2,3,21.0,0
42,2024-05-26,Midlands,Basic,19,8.93,0,22,20.0,0
43,2024-09-02,North,Premium,24,33.58,0,6,39.0,0
44,2024-12-22,North,Basic,4,11.18,1,19,22.0,0
45,2024-10-15,South,Basic,29,10.65,0,3,26.0,0
46,2024-08-02,Midlands,Premium,24,31.95,1,10,31.0,0
47,2024-10-09,South,Standard,22,19.8,0,18,20.0,0
48,2024-09-21,North,Basic,32,11.77,1,6,16.0,0
49,2024-06-20,South,Basic,5,13.3,2,14,,1
50,2024-01-17,Midlands,Standard,30,18.41,2,17,5.0,0
51,2024-01-22,Scotland,Standard,7,20.57,3,2,-9.0,0
52,2024-10-25,Midlands,Premium,25,29.16,2,5,26.0,0
53,2024-09-29,South,Standard,28,21.63,2,14,8.0,0
54,2024-05-26,Scotland,Standard,17,19.74,0,13,28.0,0
55,2024-12-12,Wales,Basic,17,11.52,2,8,22.0,0
56,2024-05-18,South,Basic,29,13.35,1,13,27.0,0
57,2024-11-13,South,Basic,15,12.08,1,14,19.0,0
58,2024-09-30,South,Standard,14,20.43,1,11,16.0,0
59,2024-12-11,South,Standard,30,21.55,2,27,29.0,0
60,2024-10-26,Scotland,Basic,10,12.32,1,20,30.0,0
61,2024-01-20,South,Standard,26,17.81,0,3,16.0,1
62,2024-11-13,North,Standard,7,17.72,1,6,16.0,0
63,2024-10-01,Midlands,Premium,33,33.12,2,8,21.0,0
64,2024-04-16,South,Basic,5,12.24,0,19,13.0,0
65,2024-06-01,South,Standard,20,19.05,2,9,18.0,0
66,2024-12-12,South,Basic,32,8.54,0,4,11.0,0
67,2024-06-10,South,Premium,1,32.99,1,22,20.0,0
68,2024-11-07,North,Standard,3,20.62,0,8,4.0,0
69,2024-10-06,Scotland,Basic,18,13.37,0,17,17.0,0
70,2024-10-03,Wales,Basic,36,11.19,0,18,22.0,0
71,2024-09-17,North,Standard,4,19.31,0,21,33.0,0
72,2024-01-11,Midlands,Standard,29,20.52,0,18,33.0,0
73,2024-12-01,Wales,Standard,10,22.81,1,5,16.0,0
74,2024-10-08,South,Premium,36,32.18,2,32,31.0,0
75,2024-07-01,Midlands,Basic,22,13.33,0,12,,0
76,2024-11-09,Scotland,Basic,18,11.93,1,6,26.0,0
77,2024-09-18,Scotland,Basic,16,9.57,0,3,3.0,1
78,2024-07-13,South,Basic,8,12.46,3,13,-2.0,0
79,2024-07-12,Midlands,Premium,22,32.25,5,16,24.0,0
80,2024-01-27,Scotland,Basic,26,12.88,2,13,16.0,0
81,2024-04-11,Wales,Premium,21,31.87,1,15,28.0,0
82,2024-04-17,South,Basic,29,11.19,2,30,-9.0,0
83,2024-07-18,Scotland,Standard,10,21.84,2,4,21.0,0
84,2024-10-16,South,Basic,15,13.18,1,2,22.0,0
85,2024-02-02,South,Premium,7,29.47,0,17,25.0,0
86,2024-10-25,Scotland,Basic,16,12.85,1,19,24.0,0
87,2024-07-20,South,Standard,21,21.5,1,7,28.0,0
88,2024-02-04,South,Basic,10,10.53,0,10,11.0,0
89,2024-03-20,Midlands,Standard,2,18.64,1,4,12.0,0
90,2024-05-13,Wales,Standard,16,22.76,1,29,20.0,0
91,2024-04-08,South,Basic,1,14.07,0,2,35.0,1
92,2024-07-02,Midlands,Standard,30,19.18,1,9,23.0,0
93,2024-11-25,Midlands,Basic,31,11.8,1,5,24.0,0
94,2024-08-21,Scotland,Standard,5,20.04,0,16,20.0,0
95,2024-09-26,Wales,Standard,20,19.3,1,15,,0
96,2024-11-21,South,Basic,36,11.92,0,6,10.0,0
97,2024-07-25,South,Premium,31,32.96,3,16,12.0,1
98,2024-05-05,North,Basic,24,12.59,1,1,20.0,0
99,2024-07-20,North,Standard,26,16.81,0,7,17.0,0
100,2024-09-08,Scotland,Basic,8,11.39,0,2,14.0,0
101,2024-11-19,Midlands,Basic,30,11.84,0,24,10.0,0
102,2024-04-21,North,Basic,33,12.0,1,5,8.0,0
103,2024-04-22,Scotland,Basic,35,11.61,0,16,4.0,0
104,2024-12-21,Midlands,Standard,7,21.4,1,8,16.0,0
105,2024-01-17,Midlands,Basic,18,12.12,1,2,16.0,0
106,2024-11-27,North,Basic,9,12.43,0,7,19.0,1
107,2024-04-11,Midlands,Basic,25,13.55,1,6,12.0,0
108,2024-02-13,South,Standard,1,19.04,1,11,34.0,0
109,2024-03-05,South,Basic,33,10.8,0,10,,0
110,2024-07-28,Midlands,Standard,35,19.39,0,34,23.0,0
111,2024-06-28,Midlands,Basic,5,13.29,1,3,12.0,0
112,2024-01-21,South,Premium,5,31.37,0,30,29.0,0
113,2024-02-04,Scotland,Basic,8,12.25,3,10,11.0,0
114,2024-04-25,North,Standard,9,18.09,0,16,37.0,1
115,2024-10-13,Midlands,Standard,30,20.41,1,14,29.0,0
116,2024-02-22,Midlands,Basic,9,13.42,1,3,7.0,0
117,2024-10-31,South,Standard,12,21.96,0,8,20.0,0
118,2024-07-29,North,Basic,35,14.43,1,8,6.0,0
119,2024-03-16,Midlands,Standard,32,19.83,0,13,32.0,0
120,2024-09-24,Wales,Premium,28,34.46,0,11,40.0,0
121,2024-10-19,Midlands,Basic,7,11.26,1,3,21.0,0
122,2024-08-10,Scotland,Basic,12,15.0,1,15,8.0,0
123,2024-09-24,Midlands,Premium,30,29.52,1,19,30.0,0
124,2024-01-20,South,Basic,30,14.53,1,5,0.0,0
125,2024-02-05,North,Standard,22,20.02,2,27,16.0,0
126,2024-03-22,North,Basic,36,13.03,1,12,8.0,0
127,2024-09-08,Scotland,Basic,36,11.88,0,8,16.0,0
128,2024-03-27,Scotland,Standard,19,20.87,4,16,-1.0,1
129,2024-07-04,South,Standard,9,19.82,2,15,17.0,0
130,2024-04-13,Wales,Basic,12,13.95,1,7,22.0,0
131,2024-11-20,North,Basic,34,11.28,1,33,16.0,1
132,2024-06-01,Scotland,Premium,29,31.78,3,19,9.0,0
133,2024-01-08,South,Standard,24,17.53,2,21,19.0,0
134,2024-05-19,South,Premium,27,31.78,4,8,19.0,0
135,2024-01-27,Midlands,Basic,17,12.65,1,34,16.0,0
136,2024-07-14,South,Basic,20,12.73,0,2,9.0,0
137,2024-11-15,Wales,Standard,36,21.56,2,21,21.0,0
138,2024-12-11,South,Basic,15,12.06,0,1,31.0,0
139,2024-10-06,South,Premium,14,30.41,1,8,20.0,0
140,2024-12-17,North,Standard,6,20.43,1,19,24.0,0
141,2024-05-13,South,Basic,17,11.79,0,16,20.0,0
142,2024-10-20,South,Basic,16,10.95,0,20,13.0,0
143,2024-06-19,South,Basic,32,13.14,1,11,20.0,0
144,2024-12-02,Midlands,Premium,32,29.82,1,26,17.0,0
145,2024-02-06,South,Basic,14,9.53,1,13,17.0,1
146,2024-07-22,Midlands,Premium,19,29.56,3,5,39.0,0
147,2024-09-28,Midlands,Basic,29,11.44,0,3,20.0,0
148,2024-10-10,North,Standard,15,19.1,1,8,24.0,0
149,2024-11-13,Midlands,Standard,32,20.44,2,20,22.0,0
150,2024-12-29,North,Premium,17,30.09,0,20,22.0,0
151,2024-12-22,Scotland,Basic,26,9.19,1,2,17.0,0
152,2024-10-25,Scotland,Basic,18,14.69,1,16,5.0,0
153,2024-02-10,South,Standard,22,19.39,2,24,28.0,0
154,2024-07-26,North,Premium,4,30.84,0,3,36.0,0
155,2024-10-26,Midlands,Standard,35,18.85,1,16,8.0,0
156,2024-09-20,North,Basic,14,14.1,4,4,4.0,0
157,2024-08-12,South,Standard,12,21.61,3,13,5.0,0
158,2024-02-02,South,Standard,28,19.47,0,18,28.0,0
159,2024-06-23,Wales,Basic,31,13.2,1,24,-5.0,0
160,2024-10-09,Scotland,Basic,26,13.04,1,9,6.0,0
161,2024-04-25,Midlands,Standard,14,19.88,0,17,21.0,1
162,2024-08-05,North,Standard,25,18.06,1,12,26.0,0
163,2024-06-01,Scotland,Basic,16,13.38,0,29,15.0,0
164,2024-09-01,Scotland,Standard,11,18.94,4,16,8.0,0
165,2024-12-04,Wales,Premium,7,33.06,1,9,21.0,0
166,2024-07-05,North,Premium,35,32.18,3,37,21.0,0
167,2024-12-14,Midlands,Basic,4,14.1,1,8,1.0,0
168,2024-07-21,Wales,Premium,19,33.07,2,6,32.0,0
169,2024-12-14,Midlands,Basic,13,12.62,0,10,9.0,1
170,2024-02-03,Scotland,Standard,24,19.93,0,9,21.0,0
171,2024-10-16,North,Basic,34,11.13,1,17,13.0,0
172,2024-06-25,North,Basic,7,13.33,0,23,23.0,0
173,2024-08-27,Scotland,Basic,23,11.96,1,10,17.0,0
174,2024-09-19,Midlands,Standard,30,17.63,1,13,23.0,1
175,2024-02-19,South,Standard,3,20.89,0,9,35.0,1
176,2024-05-29,South,Standard,8,18.09,2,18,9.0,0
177,2024-03-23,Midlands,Basic,5,8.07,1,18,12.0,0
178,2024-12-28,North,Standard,6,21.19,0,6,30.0,0
179,2024-06-05,Scotland,Basic,36,11.88,2,11,11.0,0
180,2024-09-14,North,Standard,3,22.49,4,31,8.0,0
181,2024-01-21,South,Standard,28,18.57,1,25,18.0,0
182,2024-10-24,Scotland,Standard,32,19.51,1,10,23.0,0
183,2024-02-08,South,Premium,32,33.02,0,53,29.0,0
184,2024-04-30,South,Standard,29,21.27,0,37,9.0,0
185,2024-12-17,North,Basic,19,12.07,1,14,13.0,0
186,2024-05-25,Wales,Basic,5,11.83,0,13,19.0,0
187,2024-07-09,South,Standard,12,20.62,2,2,32.0,1
188,2024-06-17,Wales,Basic,4,11.26,0,3,17.0,0
189,2024-06-30,North,Basic,11,9.42,0,60,8.0,0
190,2024-11-13,South,Premium,19,33.86,1,9,27.0,0
191,2024-07-29,South,Standard,1,18.1,0,31,24.0,0
192,2024-06-24,Wales,Basic,11,11.96,0,3,21.0,0
193,2024-11-08,North,Basic,27,11.2,1,17,19.0,0
194,2024-05-13,Midlands,Basic,23,14.36,2,12,10.0,0
195,2024-07-21,Midlands,Premium,35,33.52,3,5,20.0,0
196,2024-07-30,Scotland,Basic,21,9.74,0,51,17.0,0
197,2024-02-15,Scotland,Standard,23,20.15,1,27,30.0,0
198,2024-12-21,Wales,Premium,36,34.1,1,31,28.0,0
199,2024-01-09,South,Basic,36,10.25,1,10,31.0,0
200,2024-02-26,Scotland,Standard,35,18.72,1,14,18.0,0
201,2024-07-04,South,Basic,34,12.58,1,15,24.0,0
202,2024-01-24,Wales,Standard,24,19.82,4,30,9.0,0
203,2024-07-17,Midlands,Standard,30,21.66,0,11,28.0,0
204,2024-01-25,North,Basic,14,10.03,0,34,-2.0,0
205,2024-09-19,Wales,Standard,7,19.68,0,16,21.0,0
206,2024-04-10,Wales,Standard,31,20.08,0,28,17.0,0
207,2024-05-17,North,Basic,1,12.02,0,16,29.0,0
208,2024-04-19,South,Standard,19,20.05,2,7,9.0,1
209,2024-06-01,Midlands,Premium,28,30.73,1,10,31.0,0
210,2024-05-23,Scotland,Standard,32,20.72,0,2,23.0,0
211,2024-08-19,South,Basic,30,11.5,0,14,21.0,0
212,2024-12-03,South,Standard,7,19.98,3,5,-4.0,0
213,2024-05-26,Midlands,Basic,19,10.29,1,2,8.0,1
214,2024-05-14,North,Basic,21,13.6,2,17,14.0,0
215,2024-05-23,Wales,Basic,16,13.08,0,7,13.0,0
216,2024-12-04,South,Standard,24,20.63,2,38,9.0,0
217,2024-06-14,Midlands,Premium,34,31.37,2,13,9.0,0
218,2024-12-20,Scotland,Premium,36,32.25,4,3,10.0,0
219,2024-07-29,Midlands,Standard,33,21.53,1,13,11.0,0
220,2024-11-24,North,Basic,34,13.0,0,4,21.0,0
221,2024-08-12,Wales,Standard,36,18.48,3,1,18.0,0
222,2024-10-21,South,Basic,30,12.84,0,15,8.0,0
223,2024-08-19,South,Basic,8,10.04,1,18,15.0,0
224,2024-12-15,Midlands,Basic,4,11.06,2,5,0.0,0
225,2024-08-16,Scotland,Standard,1,23.01,1,4,11.0,0
226,2024-09-14,Scotland,Premium,21,32.02,2,12,31.0,0
227,2024-07-17,South,Standard,30,20.58,1,19,0.0,0
228,2024-12-10,North,Standard,4,20.98,2,5,20.0,0
229,2024-08-12,Midlands,Basic,21,11.38,0,18,26.0,0
230,2024-02-09,Midlands,Standard,21,23.23,0,4,26.0,0
231,2024-09-02,Midlands,Standard,29,16.09,0,14,31.0,0
232,2024-01-13,South,Basic,20,9.57,1,13,21.0,0
233,2024-09-07,North,Premium,22,33.24,1,13,24.0,0
234,2024-07-02,North,Premium,28,32.65,2,3,19.0,0
235,2024-09-29,South,Standard,23,16.61,2,17,16.0,0
236,2024-11-18,South,Standard,28,20.54,1,11,18.0,1
237,2024-01-02,North,Standard,17,18.78,2,20,12.0,0
238,2024-02-13,South,Standard,9,19.43,0,13,28.0,0
239,2024-05-19,Midlands,Basic,13,12.58,1,14,18.0,0
240,2024-08-25,South,Basic,24,12.52,1,11,19.0,0
241,2024-06-30,South,Premium,8,34.59,1,12,31.0,1
242,2024-11-18,Midlands,Standard,1,20.18,1,3,24.0,0
243,2024-01-26,South,Basic,24,12.08,0,9,27.0,0
244,2024-01-15,Wales,Basic,16,12.79,1,31,9.0,0
245,2024-01-16,South,Standard,18,19.24,0,5,30.0,0
246,2024-01-08,Midlands,Basic,20,9.08,0,1,5.0,0
247,2024-10-08,Midlands,Basic,17,13.36,0,20,0.0,0
248,2024-12-27,Midlands,Premium,23,29.63,1,4,21.0,0
249,2024-10-21,Midlands,Basic,33,10.46,0,4,26.0,0
250,2024-09-21,North,Premium,33,31.07,2,16,23.0,0
251,2024-05-15,Wales,Standard,14,19.94,3,9,11.0,0
252,2024-06-18,North,Basic,6,11.38,0,13,16.0,1
253,2024-04-11,South,Basic,34,11.16,1,8,16.0,0
254,2024-11-09,South,Premium,8,31.36,3,8,27.0,1
255,2024-02-14,Midlands,Standard,14,20.41,1,23,23.0,0
256,2024-06-06,Midlands,Standard,29,20.29,0,17,20.0,0
257,2024-09-09,North,Standard,28,20.35,0,26,29.0,0
258,2024-01-06,Midlands,Basic,5,15.13,0,8,18.0,0
259,2024-10-10,North,Basic,3,10.8,3,38,0.0,0
260,2024-09-30,North,Basic,6,10.61,1,8,28.0,0
261,2024-03-21,Scotland,Basic,4,10.66,0,10,1.0,0
262,2024-01-24,North,Standard,30,19.16,0,40,23.0,0
263,2024-05-06,Midlands,Basic,22,12.56,1,15,6.0,0
264,2024-09-29,Wales,Standard,28,17.89,0,9,,0
265,2024-06-29,South,Standard,33,20.82,1,5,22.0,0
266,2024-04-23,North,Basic,26,13.06,0,6,24.0,0
267,2024-08-25,Midlands,Basic,30,12.28,1,7,8.0,0
268,2024-02-28,South,Standard,30,19.83,1,15,26.0,0
269,2024-05-24,North,Basic,36,12.1,1,19,29.0,0
270,2024-04-02,Wales,Standard,33,19.12,0,2,19.0,0
271,2024-06-13,Midlands,Standard,19,19.43,4,28,4.0,0
272,2024-03-30,South,Basic,28,11.74,1,14,8.0,0
273,2024-06-04,Midlands,Standard,13,20.87,2,4,1.0,0
274,2024-04-08,North,Basic,34,13.05,0,11,20.0,0
275,2024-12-21,Midlands,Standard,1,19.75,3,10,8.0,0
276,2024-02-09,South,Standard,25,20.82,2,3,17.0,0
277,2024-03-19,North,Standard,1,22.23,2,26,7.0,0
278,2024-11-28,Midlands,Basic,29,13.16,0,8,11.0,0
279,2024-04-04,Midlands,Standard,30,20.82,1,15,13.0,0
280,2024-02-22,Midlands,Basic,19,12.37,1,7,8.0,0
281,2024-05-29,North,Basic,33,13.91,0,9,26.0,0
282,2024-10-14,South,Standard,34,22.38,2,9,22.0,0
283,2024-01-11,Wales,Basic,16,11.12,1,5,9.0,0
284,2024-01-18,Wales,Basic,23,13.57,1,21,19.0,0
285,2024-09-03,South,Premium,31,30.67,2,14,23.0,0
286,2024-04-24,Midlands,Basic,31,12.23,1,10,12.0,0
287,2024-05-26,North,Basic,9,12.65,0,3,26.0,0
288,2024-01-06,Midlands,Basic,29,12.51,1,17,19.0,0
289,2024-10-30,North,Basic,30,10.63,0,15,29.0,0
290,2024-04-24,Midlands,Basic,10,11.44,0,5,19.0,0
291,2024-04-08,Midlands,Premium,7,32.0,1,22,26.0,0
292,2024-07-07,Midlands,Basic,25,12.64,0,9,17.0,0
293,2024-02-09,Midlands,Premium,10,30.42,1,19,23.0,0
294,2024-07-12,Midlands,Premium,30,30.69,5,26,4.0,0
295,2024-10-14,Midlands,Premium,4,32.74,4,7,11.0,0
296,2024-04-07,North,Standard,6,20.37,1,3,24.0,0
297,2024-07-04,Scotland,Premium,27,32.55,1,2,27.0,0
298,2024-10-07,Midlands,Basic,20,9.29,0,8,9.0,0
299,2024-06-24,North,Standard,25,17.19,0,13,24.0,0
300,2024-01-04,South,Premium,9,33.14,2,1,31.0,0
301,2024-01-04,South,Standard,2,21.12,0,23,35.0,0
302,2024-08-23,Scotland,Standard,26,20.44,2,6,12.0,0
303,2024-03-12,Scotland,Basic,17,10.52,0,6,24.0,0
304,2024-11-13,North,Standard,31,18.35,1,30,24.0,0
305,2024-07-11,Wales,Basic,23,10.13,0,8,18.0,1
306,2024-06-10,South,Basic,11,13.58,0,4,19.0,0
307,2024-09-22,Midlands,Standard,16,19.39,0,24,21.0,0
308,2024-11-12,South,Standard,17,21.13,0,22,17.0,0
309,2024-02-23,Midlands,Standard,1,22.5,0,37,10.0,0
310,2024-01-21,Wales,Basic,4,11.15,3,9,-5.0,0
311,2024-02-20,Wales,Standard,29,20.07,0,14,16.0,0
312,2024-09-27,North,Standard,18,19.55,1,5,30.0,0
313,2024-09-10,Scotland,Basic,29,12.95,1,20,13.0,0
314,2024-05-16,Midlands,Premium,31,34.73,0,9,26.0,0
315,2024-12-10,Midlands,Standard,2,19.67,0,31,39.0,0
316,2024-01-30,South,Basic,28,12.17,0,9,31.0,0
317,2024-10-28,South,Standard,18,20.35,0,47,12.0,0
318,2024-11-17,South,Premium,3,29.64,2,9,12.0,1
319,2024-03-09,North,Basic,15,12.45,0,29,17.0,1
320,2024-03-24,South,Basic,7,8.85,1,13,20.0,0
321,2024-08-17,North,Basic,31,9.97,1,15,,0
322,2024-02-27,South,Standard,25,18.41,0,17,32.0,0
323,2024-07-01,Midlands,Basic,18,12.29,0,5,16.0,0
324,2024-11-27,Midlands,Standard,1,20.79,0,8,-4.0,0
325,2024-11-11,South,Standard,21,21.78,2,5,1.0,0
326,2024-06-11,Midlands,Basic,26,11.66,1,19,12.0,0
327,2024-08-08,Wales,Premium,7,30.1,1,7,20.0,0
328,2024-12-14,Midlands,Standard,5,21.47,1,25,18.0,0
329,2024-01-13,South,Standard,35,20.86,1,10,26.0,0
330,2024-02-13,Midlands,Basic,19,11.53,1,8,12.0,0
331,2024-09-19,South,Standard,35,19.43,3,18,24.0,0
332,2024-10-14,Wales,Basic,15,11.76,1,17,9.0,0
333,2024-07-23,South,Basic,32,12.79,0,3,16.0,0
334,2024-11-25,Wales,Standard,28,22.72,2,12,27.0,1
335,2024-10-25,Wales,Premium,21,28.82,4,6,12.0,1
336,2024-02-29,Scotland,Standard,30,20.86,3,10,3.0,1
337,2024-06-20,North,Basic,25,12.25,1,1,27.0,0
338,2024-02-01,Wales,Basic,36,12.1,0,13,27.0,0
339,2024-12-18,Midlands,Standard,23,18.61,0,9,18.0,0
340,2024-08-20,Midlands,Standard,34,19.41,1,15,22.0,1
341,2024-02-21,South,Standard,33,19.12,2,0,21.0,0
342,2024-02-04,Wales,Standard,27,20.33,0,38,26.0,0
343,2024-03-29,Scotland,Basic,35,12.49,1,9,7.0,0
344,2024-07-30,Midlands,Standard,10,19.2,0,5,20.0,0
345,2024-07-12,South,Basic,28,11.23,0,9,11.0,0
346,2024-05-01,North,Basic,11,12.36,0,6,25.0,1
347,2024-10-01,Wales,Standard,21,21.24,1,27,16.0,0
348,2024-03-03,South,Basic,34,9.4,0,18,29.0,0
349,2024-12-12,South,Standard,12,20.06,1,6,19.0,0
350,2024-10-03,North,Basic,35,12.87,0,33,27.0,0
351,2024-08-09,North,Basic,11,12.14,0,11,11.0,0
352,2024-09-13,Midlands,Basic,36,11.12,1,11,18.0,0
353,2024-10-01,Midlands,Standard,28,18.87,0,35,23.0,0
354,2024-01-20,North,Basic,28,12.97,3,11,-10.0,0
355,2024-12-19,Wales,Standard,27,19.44,3,5,25.0,0
356,2024-01-03,South,Premium,20,31.21,2,23,18.0,0
357,2024-10-25,North,Standard,10,22.81,2,5,16.0,0
358,2024-01-28,South,Standard,9,21.07,0,31,22.0,0
359,2024-09-13,Scotland,Premium,1,31.35,2,25,12.0,1
360,2024-04-01,Midlands,Basic,25,11.96,0,21,35.0,0
361,2024-01-08,Midlands,Basic,15,15.62,2,1,9.0,0
362,2024-06-16,North,Premium,5,30.09,3,43,17.0,1
363,2024-11-22,Wales,Standard,11,21.57,0,12,27.0,0
364,2024-06-10,North,Basic,12,12.25,0,28,9.0,0
365,2024-02-02,North,Basic,6,11.68,0,6,12.0,0
366,2024-12-25,Wales,Standard,3,20.17,0,6,37.0,0
367,2024-03-29,North,Premium,1,30.72,2,4,30.0,1
368,2024-03-25,Wales,Standard,19,21.92,4,17,10.0,0
369,2024-10-08,South,Standard,20,20.09,1,25,25.0,0
370,2024-06-11,Wales,Standard,16,21.57,1,16,9.0,1
371,2024-11-27,Scotland,Standard,19,18.2,0,7,29.0,0
372,2024-07-21,Scotland,Basic,20,13.52,0,38,14.0,0
373,2024-12-03,South,Basic,11,13.16,1,0,24.0,0
374,2024-04-13,Midlands,Basic,19,13.53,1,14,13.0,1
375,2024-08-23,Midlands,Basic,10,12.68,1,8,24.0,1
376,2024-08-10,South,Basic,13,12.96,0,5,26.0,0
377,2024-02-11,North,Standard,28,18.18,2,1,19.0,0
378,2024-03-30,South,Basic,1,13.19,0,2,17.0,0
379,2024-08-24,South,Standard,5,20.29,0,3,43.0,0
380,2024-09-07,Midlands,Basic,10,13.73,0,1,21.0,0
381,2024-07-20,North,Standard,32,19.87,1,25,21.0,0
382,2024-08-11,Midlands,Basic,29,9.66,0,7,17.0,0
383,2024-02-17,Wales,Standard,35,19.73,1,4,29.0,0
384,2024-09-20,South,Basic,9,12.94,2,33,8.0,0
385,2024-02-11,South,Standard,35,17.7,0,9,12.0,0
386,2024-08-21,Midlands,Basic,35,10.6,0,15,17.0,0
387,2024-02-15,Wales,Basic,18,9.31,1,10,26.0,0
388,2024-07-31,Midlands,Standard,35,16.63,0,5,9.0,0
389,2024-11-20,North,Standard,23,20.51,0,7,18.0,1
390,2024-07-01,Scotland,Basic,17,11.77,2,4,27.0,0
391,2024-12-19,North,Basic,9,12.24,2,7,0.0,0
392,2024-09-21,Midlands,Standard,13,22.1,1,31,-1.0,0
393,2024-04-13,South,Standard,19,20.14,0,26,32.0,0
394,2024-10-02,Midlands,Basic,7,13.57,0,11,20.0,1
395,2024-10-26,Scotland,Standard,12,19.55,0,12,25.0,0
396,2024-09-09,Midlands,Standard,17,18.58,0,4,24.0,0
397,2024-01-09,Scotland,Basic,23,11.12,1,14,20.0,0
398,2024-12-27,South,Basic,17,10.44,0,14,20.0,0
399,2024-03-02,Midlands,Basic,27,10.84,0,11,18.0,0
400,2024-06-13,Scotland,Standard,11,20.09,1,13,8.0,0
401,2024-02-17,South,Standard,30,17.02,0,7,24.0,0
402,2024-06-29,South,Basic,1,10.02,0,4,19.0,1
403,2024-05-17,Wales,Standard,36,17.2,1,7,10.0,0
404,2024-09-08,North,Premium,1,31.44,1,11,16.0,0
405,2024-11-05,North,Standard,29,19.51,4,21,-3.0,0
406,2024-07-25,South,Basic,17,10.24,0,3,12.0,0
407,2024-03-25,Midlands,Basic,19,11.98,2,18,8.0,0
408,2024-06-14,South,Standard,18,19.58,1,5,14.0,0
409,2024-06-14,Wales,Standard,4,16.7,1,1,14.0,0
410,2024-06-13,North,Premium,10,34.93,1,3,17.0,0
411,2024-07-09,Scotland,Premium,20,30.71,1,3,22.0,0
412,2024-10-22,Midlands,Basic,18,12.39,1,5,28.0,0
413,2024-04-22,Midlands,Basic,26,12.62,1,9,7.0,1
414,2024-05-13,Wales,Standard,11,16.38,1,10,15.0,0
415,2024-07-05,South,Premium,2,31.54,2,23,19.0,1
416,2024-10-31,Wales,Standard,18,17.81,2,14,,0
417,2024-05-12,Midlands,Standard,26,20.01,1,28,5.0,0
418,2024-03-20,North,Basic,6,13.28,1,12,2.0,0
419,2024-09-09,Midlands,Basic,10,13.41,1,7,16.0,0
420,2024-06-03,South,Standard,18,18.4,0,15,33.0,0
421,2024-08-31,South,Basic,22,13.88,0,27,22.0,1
422,2024-08-18,Wales,Standard,31,19.99,0,9,26.0,0
423,2024-10-31,North,Basic,25,11.53,0,18,1.0,0
424,2024-07-11,Midlands,Basic,11,15.23,2,28,10.0,1
425,2024-10-19,South,Basic,6,12.88,1,6,7.0,0
426,2024-12-13,North,Premium,21,31.6,0,7,33.0,0
427,2024-06-26,South,Premium,12,31.23,1,6,19.0,0
428,2024-10-13,Midlands,Standard,1,19.62,2,32,22.0,1
