customer_id,signup_date,region,plan_type,tenure_months,monthly_fee_gbp,support_tickets_90d,last_login_days,nps_score,churned_90d,marketing_channel,device_type,income_band,contract_type,revenue_last_3m_gbp
64,2024-08-02,Scotland,Basic,11,12.3,1,26,19.0,0,Referral,Desktop,25-50k,Monthly,36.9
65,2024-10-11,Wales,Basic,23,9.74,1,15,9.0,0,Referral,Desktop,25-50k,Monthly,29.22
66,2024-04-07,Midlands,Premium,11,32.81,2,19,26.0,0,Email,Desktop,<25k,Monthly,98.43
67,2024-03-15,Midlands,Standard,8,20.14,0,18,21.0,0,Referral,Mobile,25-50k,Annual,60.42
68,2024-08-24,North,Basic,6,10.62,0,6,16.0,1,Paid search,Tablet,25-50k,Annual,21.24
69,2024-02-29,South,Standard,27,21.31,1,13,12.0,0,Referral,Tablet,75k+,Monthly,63.93
70,2024-03-30,Midlands,Basic,27,14.48,0,1,28.0,0,Organic search,Mobile,25-50k,Monthly,43.44
71,2024-12-22,Scotland,Standard,27,18.9,2,12,4.0,0,Organic search,Mobile,25-50k,Monthly,56.7
72,2024-10-06,Midlands,Standard,35,19.45,1,22,27.0,0,Referral,Desktop,25-50k,Monthly,58.35
73,2024-09-26,North,Standard,31,18.67,0,2,46.0,0,Organic search,Tablet,50-75k,Annual,56.01
74,2024-10-09,South,Basic,19,9.62,0,5,14.0,0,Referral,Desktop,<25k,Annual,28.86
75,2024-07-28,Scotland,Basic,9,14.45,0,10,12.0,1,Organic search,Desktop,25-50k,Annual,28.9
76,2024-05-17,South,Basic,13,13.02,1,22,8.0,0,Organic search,Mobile,25-50k,Monthly,39.06
77,2024-03-12,South,Basic,27,12.89,0,33,5.0,0,Referral,Mobile,25-50k,Annual,38.67
78,2024-12-10,South,Basic,27,12.19,5,22,-6.0,0,Paid search,Mobile,25-50k,Monthly,36.57
79,2024-10-24,South,Premium,7,33.12,4,11,12.0,0,Organic search,Desktop,25-50k,Monthly,99.36
80,2024-02-07,South,Basic,4,12.24,1,6,26.0,0,Paid search,Desktop,<25k,Monthly,36.72
81,2024-04-10,North,Basic,30,12.55,0,10,8.0,0,Paid search,Mobile,75k+,Monthly,37.65
82,2024-09-09,Scotland,Standard,4,23.39,1,2,-9.0,0,Social,Desktop,25-50k,Monthly,70.17
83,2024-03-25,South,Basic,33,10.22,0,16,0.0,0,Organic search,Tablet,<25k,Monthly,30.66
84,2024-04-23,Midlands,Basic,8,10.71,1,15,7.0,0,Paid search,Mobile,75k+,Monthly,32.13
85,2024-11-01,South,Basic,14,12.5,2,12,10.0,0,Paid search,Mobile,25-50k,Monthly,37.5
86,2024-07-16,South,Basic,10,14.34,1,41,22.0,0,Organic search,Mobile,50-75k,Monthly,43.02
87,2024-02-05,South,Basic,11,11.97,0,11,21.0,0,Organic search,Tablet,50-75k,Monthly,35.91
88,2024-01-27,Wales,Premium,19,32.85,1,20,21.0,0,Referral,Desktop,<25k,Monthly,98.55
89,2024-03-11,South,Standard,35,19.19,0,29,21.0,0,Organic search,Desktop,<25k,Monthly,57.57
90,2024-03-24,South,Standard,25,20.6,1,11,25.0,1,Email,Desktop,25-50k,Monthly,20.6
91,2024-08-21,South,Basic,27,12.81,1,53,1.0,1,Organic search,Desktop,25-50k,Annual,25.62
92,2024-08-31,North,Standard,16,19.59,1,17,5.0,0,Social,Mobile,25-50k,Annual,58.77
93,2024-12-03,North,Standard,6,18.23,2,16,17.0,0,Paid search,Desktop,<25k,Monthly,54.69
94,2024-03-19,Midlands,Premium,16,31.36,4,37,7.0,0,Email,Desktop,<25k,Monthly,94.08
95,2024-04-07,Midlands,Standard,10,18.72,2,4,40.0,0,Social,Desktop,<25k,Monthly,56.16
96,2024-02-07,South,Basic,5,12.43,0,9,22.0,0,Organic search,Tablet,<25k,Monthly,37.29
97,2024-11-16,Wales,Basic,30,11.06,0,3,22.0,0,Paid search,Mobile,75k+,Monthly,33.18
98,2024-06-30,Midlands,Basic,21,12.73,0,5,22.0,0,Social,Desktop,25-50k,Monthly,38.19
99,2024-03-04,North,Basic,5,12.57,0,29,11.0,0,Paid search,Mobile,75k+,Monthly,37.71
100,2024-10-24,Wales,Standard,16,21.92,0,3,24.0,0,Paid search,Desktop,75k+,Annual,65.76
101,2024-10-08,North,Standard,35,19.76,3,11,7.0,0,Email,Desktop,<25k,Monthly,59.28
102,2024-05-03,South,Standard,30,18.53,2,14,12.0,0,Social,Desktop,50-75k,Monthly,55.59
103,2024-07-11,Scotland,Standard,29,20.05,2,10,17.0,0,Social,Desktop,25-50k,Monthly,60.15
104,2024-09-11,North,Standard,3,19.02,2,13,12.0,1,Paid search,Desktop,25-50k,Monthly,38.04
105,2024-04-09,Wales,Standard,1,22.14,4,3,18.0,0,Organic search,Desktop,25-50k,Monthly,66.42
106,2024-10-05,Midlands,Standard,26,20.55,0,8,25.0,0,Social,Mobile,<25k,Annual,61.65
107,2024-04-04,North,Basic,14,8.91,0,0,20.0,0,Paid search,Desktop,25-50k,Monthly,26.73
108,2024-01-07,North,Standard,2,16.96,0,5,20.0,0,Email,Desktop,25-50k,Annual,50.88
109,2024-06-05,Midlands,Basic,4,11.0,1,3,13.0,0,Paid search,Desktop,50-75k,Monthly,33.0
110,2024-04-14,Midlands,Basic,1,14.81,3,14,14.0,1,Paid search,Mobile,25-50k,Annual,0.0
111,2024-01-17,South,Basic,25,11.99,0,25,28.0,0,Referral,Desktop,75k+,Monthly,35.97
112,2024-12-04,South,Standard,33,22.16,3,3,12.0,0,Organic search,Desktop,25-50k,Annual,66.48
113,2024-10-26,Midlands,Basic,1,13.15,2,6,9.0,0,Paid search,Mobile,50-75k,Monthly,39.45
114,2024-08-18,Scotland,Basic,31,13.39,0,13,27.0,1,Organic search,Mobile,75k+,Monthly,13.39
115,2024-04-22,Scotland,Basic,2,11.17,0,4,17.0,0,Organic search,Desktop,<25k,Monthly,33.51
116,2024-03-09,Wales,Standard,4,21.61,0,2,30.0,0,Social,Mobile,<25k,Annual,64.83
117,2024-05-17,Scotland,Basic,9,11.85,1,9,5.0,0,Email,Desktop,<25k,Monthly,35.55
118,2024-11-06,South,Basic,34,11.91,0,22,20.0,0,Organic search,Desktop,50-75k,Monthly,35.73
119,2024-09-05,North,Basic,8,13.14,1,5,15.0,0,Referral,Desktop,25-50k,Monthly,39.42
120,2024-03-30,South,Premium,12,34.02,0,2,42.0,0,Email,Desktop,25-50k,Monthly,102.06
121,2024-04-23,South,Standard,9,22.17,1,48,-9.0,0,Social,Desktop,<25k,Monthly,66.51
122,2024-02-18,North,Basic,7,12.01,0,19,26.0,0,Email,Desktop,<25k,Monthly,36.03
123,2024-11-07,North,Standard,4,18.81,0,6,15.0,0,Paid search,Desktop,<25k,Monthly,56.43
124,2024-11-19,South,Basic,34,11.91,1,21,23.0,0,Referral,Mobile,<25k,Monthly,35.73
125,2024-05-04,South,Standard,17,20.14,0,8,30.0,0,Organic search,Desktop,<25k,Monthly,60.42
126,2024-01-21,Midlands,Standard,25,19.89,0,17,29.0,0,Organic search,Mobile,75k+,Monthly,59.67
127,2024-05-27,Wales,Standard,35,19.84,1,6,11.0,0,Referral,Desktop,25-50k,Annual,59.52
128,2024-11-24,South,Basic,11,12.08,0,8,22.0,0,Social,Desktop,<25k,Monthly,36.24
129,2024-09-29,Scotland,Basic,12,9.79,0,10,8.0,0,Paid search,Desktop,<25k,Annual,29.37
130,2024-09-08,South,Premium,28,34.62,1,12,24.0,0,Referral,Desktop,50-75k,Monthly,103.86
131,2024-12-26,Midlands,Basic,20,14.35,1,18,20.0,0,Paid search,Desktop,50-75k,Monthly,43.05
132,2024-09-21,South,Basic,1,10.27,0,0,37.0,0,Social,Desktop,50-75k,Monthly,30.81
133,2024-08-01,Scotland,Premium,4,29.86,1,11,25.0,1,Organic search,Tablet,25-50k,Monthly,29.86
134,2024-11-29,North,Basic,27,9.46,0,1,26.0,0,Social,Mobile,<25k,Monthly,28.38
135,2024-08-15,North,Basic,24,12.4,2,16,14.0,0,Organic search,Mobile,50-75k,Monthly,37.2
136,2024-05-15,North,Standard,30,20.28,2,7,6.0,0,Social,Desktop,75k+,Monthly,60.84
137,2024-03-12,Scotland,Basic,13,11.98,0,30,23.0,0,Social,Desktop,25-50k,Monthly,35.94
138,2024-02-29,Midlands,Basic,24,12.23,0,14,15.0,0,Social,Desktop,25-50k,Monthly,36.69
139,2024-03-19,Midlands,Standard,24,18.78,0,22,33.0,0,Paid search,Mobile,<25k,Monthly,56.34
140,2024-10-05,Scotland,Standard,18,18.83,2,11,24.0,0,Referral,Mobile,50-75k,Monthly,56.49
141,2024-03-22,Midlands,Premium,21,32.84,2,19,23.0,1,Referral,Mobile,50-75k,Monthly,65.68
142,2024-04-14,Midlands,Basic,21,10.4,0,45,11.0,0,Email,Desktop,25-50k,Monthly,31.2
143,2024-10-12,Scotland,Standard,18,19.84,3,16,,0,Email,Desktop,75k+,Monthly,59.52
144,2024-04-18,Midlands,Basic,5,11.63,0,25,18.0,0,Email,Tablet,<25k,Monthly,34.89
145,2024-01-29,Midlands,Basic,9,12.17,0,19,34.0,1,Organic search,Desktop,<25k,Monthly,12.17
146,2024-09-14,North,Basic,17,14.34,0,7,33.0,0,Paid search,Desktop,50-75k,Monthly,43.02
147,2024-04-11,South,Standard,14,19.9,0,17,26.0,0,Organic search,Desktop,25-50k,Annual,59.7
148,2024-06-24,South,Premium,8,31.34,2,11,11.0,0,Paid search,Desktop,25-50k,Monthly,94.02
149,2024-01-26,Scotland,Standard,35,17.88,1,32,7.0,0,Paid search,Desktop,50-75k,Monthly,53.64
150,2024-08-13,Midlands,Premium,8,29.09,1,10,34.0,0,Social,Desktop,<25k,Monthly,87.27
151,2024-07-20,South,Basic,18,12.24,1,6,-2.0,0,Paid search,Mobile,25-50k,Monthly,36.72
152,2024-07-09,South,Standard,28,21.52,3,13,21.0,0,Paid search,Mobile,<25k,Monthly,64.56
153,2024-11-29,Midlands,Basic,20,12.43,1,6,17.0,0,Referral,Desktop,25-50k,Monthly,37.29
154,2024-03-15,North,Basic,19,11.77,1,4,22.0,0,Paid search,Mobile,<25k,Monthly,35.31
155,2024-08-21,Midlands,Premium,20,29.59,5,1,-7.0,0,Paid search,Desktop,<25k,Monthly,88.77
156,2024-06-25,North,Basic,29,12.37,0,3,16.0,0,Organic search,Tablet,25-50k,Annual,37.11
157,2024-11-06,South,Standard,27,19.59,1,1,26.0,0,Social,Mobile,25-50k,Monthly,58.77
158,2024-09-14,Wales,Basic,17,12.85,0,14,15.0,0,Social,Desktop,25-50k,Monthly,38.55
159,2024-07-22,Midlands,Basic,16,13.84,1,28,16.0,0,Organic search,Desktop,25-50k,Annual,41.52
160,2024-02-12,South,Basic,18,14.42,1,39,12.0,0,Paid search,Desktop,25-50k,Monthly,43.26
161,2024-09-13,Midlands,Premium,31,33.02,1,43,15.0,0,Organic search,Tablet,75k+,Monthly,99.06
162,2024-11-29,North,Standard,33,21.78,2,10,21.0,0,Social,Desktop,<25k,Monthly,65.34
163,2024-03-17,Midlands,Standard,36,18.96,1,11,8.0,0,Paid search,Desktop,50-75k,Annual,56.88
164,2024-01-25,Wales,Basic,29,15.12,0,22,28.0,1,Organic search,Mobile,25-50k,Annual,15.12
165,2024-03-28,South,Standard,9,19.66,0,30,7.0,0,Paid search,Desktop,50-75k,Monthly,58.98
166,2024-05-01,South,Standard,32,19.63,3,3,,0,Email,Desktop,75k+,Monthly,58.89
167,2024-05-08,South,Premium,11,32.58,4,19,9.0,1,Referral,Desktop,<25k,Monthly,65.16
168,2024-12-21,Wales,Basic,11,11.81,3,14,7.0,0,Social,Mobile,25-50k,Monthly,35.43
169,2024-08-14,North,Basic,31,10.14,0,13,22.0,0,Referral,Desktop,<25k,Monthly,30.42
170,2024-11-20,Midlands,Basic,18,12.19,0,25,20.0,0,Social,Mobile,50-75k,Monthly,36.57
171,2024-09-20,Midlands,Standard,10,20.96,0,13,3.0,0,Organic search,Mobile,25-50k,Monthly,62.88
172,2024-04-21,Midlands,Standard,20,20.66,1,9,11.0,0,Paid search,Mobile,50-75k,Monthly,61.98
173,2024-05-02,North,Basic,35,11.36,0,35,28.0,0,Organic search,Desktop,50-75k,Monthly,34.08
174,2024-07-12,South,Basic,23,10.16,0,21,15.0,0,Paid search,Desktop,<25k,Monthly,30.48
175,2024-03-15,South,Standard,18,21.0,1,50,19.0,1,Social,Desktop,25-50k,Annual,21.0
176,2024-02-22,North,Basic,4,11.56,1,15,43.0,0,Referral,Desktop,25-50k,Monthly,34.68
177,2024-03-21,North,Basic,23,12.7,1,9,25.0,0,Organic search,Mobile,<25k,Monthly,38.1
178,2024-09-11,South,Standard,18,21.49,1,46,18.0,0,Paid search,Desktop,<25k,Monthly,64.47
179,2024-01-03,South,Basic,6,12.84,1,12,,0,Organic search,Mobile,<25k,Monthly,38.52
180,2024-10-11,Midlands,Basic,29,13.74,1,31,24.0,0,Social,Desktop,75k+,Monthly,41.22
181,2024-09-18,Scotland,Standard,8,21.3,0,23,23.0,0,Organic search,Mobile,<25k,Annual,63.9
182,2024-06-21,South,Basic,14,9.42,1,2,14.0,1,Social,Desktop,50-75k,Monthly,9.42
183,2024-01-19,North,Basic,24,13.3,1,10,4.0,0,Referral,Tablet,75k+,Monthly,39.9
184,2024-10-18,South,Standard,34,21.92,1,18,17.0,0,Paid search,Desktop,25-50k,Monthly,65.76
185,2024-09-20,Midlands,Basic,3,9.16,0,5,36.0,0,Paid search,Mobile,25-50k,Monthly,27.48
186,2024-05-27,North,Basic,31,13.09,1,13,26.0,0,Email,Desktop,<25k,Annual,39.27
187,2024-11-14,North,Standard,9,20.95,0,2,31.0,0,Organic search,Desktop,50-75k,Monthly,62.85
188,2024-09-27,South,Standard,29,19.71,0,6,24.0,0,Referral,Desktop,25-50k,Monthly,59.13
189,2024-08-04,South,Basic,26,10.24,0,20,20.0,0,Organic search,Tablet,25-50k,Monthly,30.72
190,2024-11-17,South,Standard,27,20.06,1,5,26.0,0,Organic search,Mobile,<25k,Monthly,60.18
191,2024-10-14,Scotland,Standard,21,22.05,1,17,2.0,0,Paid search,Mobile,25-50k,Monthly,66.15
192,2024-09-12,North,Basic,19,13.8,0,16,31.0,0,Paid search,Tablet,50-75k,Annual,41.4
193,2024-08-20,Scotland,Basic,22,13.02,0,5,25.0,0,Organic search,Desktop,50-75k,Annual,39.06
194,2024-10-25,Scotland,Standard,2,20.21,1,6,15.0,0,Organic search,Mobile,<25k,Monthly,60.63
195,2024-03-12,South,Premium,19,29.74,0,8,18.0,0,Paid search,Mobile,50-75k,Monthly,89.22
196,2024-05-04,Wales,Basic,16,11.46,0,28,24.0,0,Paid search,Mobile,<25k,Monthly,34.38
197,2024-05-08,Wales,Basic,4,10.39,1,12,-11.0,0,Paid search,Desktop,25-50k,Monthly,31.17
198,2024-02-21,Midlands,Basic,7,13.2,2,6,1.0,0,Organic search,Mobile,50-75k,Annual,39.6
199,2024-04-03,South,Basic,29,12.72,0,3,19.0,0,Organic search,Mobile,25-50k,Annual,38.16
200,2024-07-15,South,Standard,28,17.54,0,7,20.0,1,Social,Tablet,<25k,Annual,17.54
201,2024-04-13,Midlands,Basic,17,13.62,2,28,13.0,0,Organic search,Mobile,25-50k,Annual,40.86
202,2024-09-12,South,Standard,4,21.54,0,9,28.0,0,Organic search,Mobile,<25k,Monthly,64.62
203,2024-04-25,North,Basic,5,11.39,1,23,25.0,0,Referral,Desktop,25-50k,Monthly,34.17
204,2024-10-03,Scotland,Standard,20,17.68,0,2,15.0,0,Social,Mobile,<25k,Monthly,53.04
205,2024-05-07,Midlands,Premium,7,32.71,3,22,13.0,0,Social,Desktop,<25k,Monthly,98.13
206,2024-09-02,Scotland,Basic,35,10.05,0,11,18.0,1,Paid search,Desktop,25-50k,Annual,10.05
207,2024-09-27,North,Premium,19,30.59,2,4,13.0,0,Social,Mobile,75k+,Monthly,91.77
208,2024-03-27,Wales,Basic,26,11.51,0,6,30.0,0,Organic search,Mobile,75k+,Monthly,34.53
209,2024-01-31,Midlands,Basic,36,12.07,1,1,19.0,0,Referral,Desktop,25-50k,Annual,36.21
210,2024-01-24,South,Basic,36,13.61,1,19,3.0,0,Paid search,Mobile,<25k,Monthly,40.83
211,2024-05-23,South,Basic,15,12.59,2,25,17.0,0,Paid search,Mobile,<25k,Monthly,37.77
212,2024-04-07,South,Basic,20,13.17,1,13,19.0,1,Paid search,Mobile,25-50k,Monthly,13.17
213,2024-05-10,Scotland,Standard,27,20.15,2,12,8.0,1,Organic search,Desktop,25-50k,Monthly,20.15
214,2024-04-14,Scotland,Premium,18,30.07,3,12,15.0,0,Organic search,Mobile,25-50k,Monthly,90.21
215,2024-01-28,South,Standard,17,17.99,0,5,11.0,0,Organic search,Desktop,50-75k,Annual,53.97
216,2024-11-25,Midlands,Premium,3,33.43,2,13,18.0,0,Organic search,Mobile,50-75k,Monthly,100.29
217,2024-06-16,South,Standard,4,19.57,0,19,16.0,0,Organic search,Mobile,25-50k,Monthly,58.71
218,2024-05-08,Wales,Standard,16,21.6,1,15,24.0,1,Organic search,Desktop,25-50k,Monthly,21.6
219,2024-03-28,South,Basic,21,12.72,3,13,11.0,0,Organic search,Desktop,75k+,Monthly,38.16
220,2024-02-09,South,Basic,1,10.24,1,18,8.0,0,Organic search,Mobile,50-75k,Monthly,30.72
221,2024-06-28,Wales,Standard,17,18.63,1,5,21.0,0,Organic search,Desktop,<25k,Monthly,55.89
222,2024-02-27,North,Standard,17,20.02,1,5,15.0,0,Paid search,Desktop,50-75k,Monthly,60.06
223,2024-04-28,South,Premium,19,31.26,2,19,14.0,0,Social,Mobile,50-75k,Monthly,93.78
224,2024-11-20,South,Basic,2,12.27,1,16,,0,Referral,Desktop,50-75k,Monthly,36.81
225,2024-05-27,Midlands,Premium,4,31.81,1,16,17.0,1,Social,Desktop,<25k,Annual,63.62
226,2024-09-07,Midlands,Basic,7,10.85,1,22,19.0,0,Paid search,Mobile,25-50k,Monthly,32.55
227,2024-08-29,Wales,Standard,3,22.72,0,46,21.0,0,Paid search,Mobile,25-50k,Monthly,68.16
228,2024-02-22,Midlands,Basic,23,12.79,0,13,28.0,0,Organic search,Tablet,25-50k,Monthly,38.37
229,2024-04-05,Midlands,Premium,36,32.29,3,21,24.0,0,Paid search,Desktop,75k+,Monthly,96.87
230,2024-07-09,South,Standard,30,18.02,1,9,22.0,0,Organic search,Mobile,50-75k,Monthly,54.06
231,2024-11-09,North,Basic,15,11.72,1,28,-3.0,0,Organic search,Mobile,<25k,Monthly,35.16
232,2024-01-15,North,Standard,27,19.03,2,25,18.0,0,Social,Desktop,25-50k,Monthly,57.09
233,2024-10-18,Wales,Basic,29,13.74,1,3,-3.0,1,Paid search,Mobile,<25k,Monthly,27.48
234,2024-11-17,Midlands,Standard,20,23.2,0,9,17.0,0,Organic search,Mobile,<25k,Monthly,69.6
235,2024-05-20,North,Standard,4,21.33,1,3,21.0,0,Social,Mobile,50-75k,Monthly,63.99
236,2024-10-13,Midlands,Standard,22,21.39,2,19,18.0,0,Organic search,Desktop,50-75k,Monthly,64.17
237,2024-10-07,North,Premium,3,30.28,2,12,13.0,0,Email,Mobile,<25k,Annual,90.84
238,2024-02-03,North,Basic,33,14.58,1,4,20.0,0,Organic search,Mobile,75k+,Annual,43.74
239,2024-07-31,Wales,Basic,28,12.97,0,24,27.0,0,Organic search,Mobile,25-50k,Monthly,38.91
240,2024-08-26,North,Basic,32,12.48,0,27,20.0,0,Paid search,Mobile,<25k,Monthly,37.44
241,2024-03-05,South,Standard,17,19.38,1,50,37.0,0,Organic search,Mobile,50-75k,Monthly,58.14
242,2024-10-21,South,Basic,25,13.17,0,0,14.0,0,Email,Desktop,25-50k,Monthly,39.51
243,2024-03-24,Wales,Basic,4,10.6,0,0,34.0,0,Organic search,Desktop,25-50k,Annual,31.8
244,2024-10-13,North,Basic,7,12.13,0,3,15.0,0,Social,Mobile,25-50k,Monthly,36.39
245,2024-07-01,South,Standard,16,19.55,1,17,24.0,1,Organic search,Tablet,<25k,Monthly,0.0
246,2024-03-26,North,Premium,31,34.87,1,11,18.0,0,Organic search,Desktop,25-50k,Monthly,104.61
247,2024-04-20,North,Premium,18,30.98,3,5,18.0,0,Referral,Mobile,25-50k,Monthly,92.94
248,2024-05-14,North,Basic,10,10.86,0,15,26.0,1,Social,Mobile,25-50k,Annual,10.86
249,2024-11-19,South,Basic,7,14.49,0,4,30.0,0,Organic search,Tablet,25-50k,Monthly,43.47
250,2024-12-21,Midlands,Standard,22,19.26,1,32,0.0,0,Organic search,Desktop,<25k,Monthly,57.78
251,2024-12-16,South,Basic,17,13.85,1,13,7.0,0,Social,Desktop,25-50k,Monthly,41.55
